pick_id,date,slot,kind,venue,venue_key,race,axis,axis_name,partners,axis_finish,first,second,third,kimarite,hit,cost,payout,status,t3_hit,t3_cost,t3_payout
20260920-honmei-sasebo-2,20260920,19:45,honmei,佐世保,sasebo,2,1,,2-3-4,2,4,1,2,差,0,300,0,ok,,,
20260920-honmei-sasebo-9,20260920,19:45,honmei,佐世保,sasebo,9,1,,3-7-2,2,5,1,2,差,0,300,0,ok,,,
20260920-honmei-sasebo-8,20260920,19:45,honmei,佐世保,sasebo,8,1,,2-4-3,1,1,2,3,逃,1,300,130,ok,,,
20260920-honmei-sasebo-6,20260920,19:45,honmei,佐世保,sasebo,6,1,,2-5-7,1,1,2,5,逃,1,300,170,ok,,,
20260920-honmei-kochi-6,20260920,19:45,honmei,高知,kochi,6,1,,3-5-2,2,6,1,2,差,0,300,0,ok,,,
20260920-ara-kochi-1,20260920,19:45,ara,高知,kochi,1,2,,1-3,4,1,3,4,捲,0,200,0,ok,,,
20260920-ara-sasebo-1,20260920,19:45,ara,佐世保,sasebo,1,2,,1-3,2,1,2,3,捲,0,200,0,ok,,,
20260920-ara-kochi-2,20260920,19:45,ara,高知,kochi,2,2,,1-3,3,1,3,2,差,0,200,0,ok,,,
20260920-ara-shizuoka-11,20260920,19:45,ara,静岡,shizuoka,11,5,,6-4,4,4,6,1,差,0,200,0,ok,,,
20260920-ara-kochi-9,20260920,19:45,ara,高知,kochi,9,3,,4-1,2,4,3,6,捲,0,200,0,ok,,,
20260920-ara-sasebo-5,20260920,20:02,ara,佐世保,sasebo,5,5,,2-1,2,1,5,2,差,0,200,0,ok,,,
20260921-honmei-omiya-7,20260921,10:28,honmei,大宮,omiya,7,3,,4-6-7,1,3,4,1,逃,1,300,120,ok,0,0,0
20260921-honmei-yahiko-2,20260921,10:28,honmei,弥彦,yahiko,2,5,,1-7-2,3,7,2,5,捲,0,300,0,ok,0,0,0
20260921-honmei-yahiko-9,20260921,10:28,honmei,弥彦,yahiko,9,1,,4-2-3,3,2,4,1,差,0,300,0,ok,0,0,0
20260921-honmei-toyama-4,20260921,10:28,honmei,富山,toyama,4,3,,5-6-9,2,5,3,6,逃,0,300,0,ok,0,0,0
20260921-honmei-toyama-5,20260921,10:28,honmei,富山,toyama,5,9,,5-2-1,1,9,2,5,捲,1,300,1290,ok,0,0,0
20260921-honmei-aomori-11,20260921,10:28,honmei,青森,aomori,11,7,,4-1-3,1,7,5,4,差,0,300,0,ok,0,0,0
20260921-honmei-aomori-4,20260921,10:28,honmei,青森,aomori,4,7,,1-4-6,2,1,7,4,差,0,300,0,ok,0,0,0
20260921-honmei-matsuyama-6,20260921,10:28,honmei,松山,matsuyama,6,5,,2-7-3,3,6,3,5,差,0,300,0,ok,0,0,0
20260921-honmei-matsuyama-2,20260921,10:28,honmei,松山,matsuyama,2,3,,2-1-4,3,1,5,3,差,0,300,0,ok,0,0,0
20260921-honmei-sasebo-2,20260921,10:28,honmei,佐世保,sasebo,2,1,,2-3-4,1,1,3,4,捲,1,300,260,ok,0,0,0
20260921-honmei-sasebo-9,20260921,10:28,honmei,佐世保,sasebo,9,1,,2-3-4,3,2,7,1,差,0,300,0,ok,0,0,0
20260921-honmei-kochi-4,20260921,10:28,honmei,高知,kochi,4,1,,2-3-4,2,2,1,7,差,0,300,0,ok,0,0,0
20260921-honmei-kochi-6,20260921,10:28,honmei,高知,kochi,6,1,,2-3-4,5,4,2,3,逃,0,300,0,ok,0,0,0
